Period,Sustainable Fund,Conventional Fund,R_f
Period 1,-0.18231724202632900,-0.17117616534233100,0.03831963241100310
Period 2,-0.19285374879837000,-0.18634021282196000,0.03753953427076340
Period 3,-0.20922324061393700,-0.18634021282196000,0.03943993896245960
Period 4,-0.20922324061393700,-0.18634021282196000,0.04123957827687260
Period 5,-0.13664674758911100,-0.13586510717868800,0.04073954001069070
Period 6,-0.10644593834877000,-0.11534397304058100,0.04115994274616240
Period 7,-0.07905935496091840,-0.09583523869514470,0.04029874503612520
Period 8,-0.02388704940676690,-0.03716229274868970,0.03787977248430250
Period 9,0.00445122737437487,-0.00699151633307338,0.03734986111521720
Period 10,0.03756959736347200,0.01991377398371700,0.03631957620382310
Period 11,0.01783631369471550,-0.00365517637692392,0.03515980392694470
Period 12,-0.00900786183774471,-0.02883206866681580,0.03505984693765640
Period 13,-0.06266039609909060,-0.07679433375597000,0.03671984001994130
Period 14,-0.00651443749666214,-0.01946053840219970,0.03844995424151420
Period 15,-0.01456168852746490,-0.03007671236991880,0.03714954480528830
Period 16,0.03444715216755870,0.00128488417249173,0.03519983217120170
Period 17,0.00973146874457598,-0.00684778252616525,0.03455980494618420
Period 18,0.05943612009286880,0.03726212307810780,0.03489996865391730
Period 19,0.10876531153917300,0.07749836146831510,0.03477977588772770
Period 20,0.06845583766698840,0.04957515001297000,0.03667992353439330
Period 21,0.03744979947805400,0.01813389360904690,0.03795989602804180
Period 22,-0.00136453087907284,-0.01258407998830080,0.03918995708227160
Period 23,-0.04079567641019820,-0.05927112326025960,0.03979982808232310
Period 24,-0.03762682899832730,-0.05139318853616710,0.03911945223808290
Period 25,-0.02206170372664930,-0.01667453721165660,0.03529968485236170
Period 26,0.01396013051271440,0.03035123646259310,0.03459971398115160
Period 27,0.00859162770211697,0.01770108379423620,0.03535995632410050
Period 28,0.04608570784330370,0.06531220674514770,0.03353987634181980
Period 29,0.11865094304084800,0.13752967119216900,0.03443991765379910
Period 30,0.13061836361885100,0.15615427494049100,0.03577997535467150
Period 31,0.11376382410526300,0.14142125844955400,0.03463987633585930
Period 32,0.11143016070127500,0.13456170260906200,0.03443970531225200
Period 33,0.08691218495368960,0.11284165084362000,0.03465986624360080
Period 34,0.06516567617654800,0.11059090495109600,0.03591974824666980
Period 35,0.07681601494550700,0.13158901035785700,0.03755988180637360
Period 36,0.04264538362622260,0.09182503819465640,0.03674989566206930
Period 37,0.08327165246009830,0.14363774657249500,0.03731993958354000
Period 38,0.11863248050212900,0.17983646690845500,0.03777988627552990
Period 39,0.06911762058734890,0.11665081232786200,0.03750996664166450
Period 40,0.11796386539936100,0.18049263954162600,0.03771986812353130
Period 41,0.12503576278686500,0.17400939762592300,0.03964970633387570
Period 42,0.16083881258964500,0.19808743894100200,0.03889956697821620
Period 43,0.18190714716911300,0.21990212798118600,0.03809994086623190
Period 44,0.19667422771453900,0.24742801487445800,0.03919983655214310
Period 45,0.12794004380703000,0.17041547596454600,0.04069973900914190
