Period,Sustainable Fund,Conventional Fund,R_f
Period 1,0.026467305,0.023767939,.00050000002
Period 2,0.021227811,0.019480492,.00050000002
Period 3,0.026849443,0.024440774,.00050000002
Period 4,0.02539449,0.022788125,.00050000002
Period 5,0.019082071,0.01703811,.00048000002
Period 6,0.016718754,0.015389685,.00050000002
Period 7,0.019131152,0.017253624,.00050000002
Period 8,0.018644187,0.017501231,.00050000002
Period 9,0.019835325,0.018100989,.00047500001
Period 10,0.020402034,0.018408053,.00044
Period 11,0.021023753,0.019293137,.00050000002
Period 12,0.021076271,0.019084968,.00048000002
Period 13,0.017442749,0.016316779,.00050000002
Period 14,0.018554996,0.017941374,.00050000002
Period 15,0.021519758,0.020213103,.00050000002
Period 16,0.017477876,0.01770163,.00050000002
Period 17,0.015955356,0.017040089,.0015
Period 18,0.014537326,0.014842647,.00278
Period 19,0.011588327,0.012508518,.00284
Period 20,0.007689904,0.009636933,.003
Period 21,-0.003494905,-0.001853004,.0029249999
Period 22,-0.00525685,-0.003341886,.0027399999
Period 23,0.000293825,0.003328604,.0027600001
Period 24,-0.003013703,0.000147315,.0049399999
Period 25,-0.005737164,-0.002236082,.0078400001
Period 26,-0.008104143,-0.005567759,.0079199998
Period 27,-0.009632336,-0.005840663,.0077999998
Period 28,-0.013198967,-0.009514829,.0078999996
Period 29,-0.009948057,-0.005663317,.0076199998
Period 30,-0.005981498,-0.001222822,.01004
Period 31,-0.003444935,0.001842815,.0145
Period 32,-0.00490625,0.000152849,.0151
Period 33,-0.006580079,-0.003111746,.015374999
Period 34,-0.006238942,-0.002427678,.01534
Period 35,-0.012348606,-0.009441352,.01532
Period 36,-0.013935848,-0.01125824,.018279999
Period 37,-0.020758852,-0.018222196,.022880001
Period 38,-0.020922324,-0.018634021,.02282
Period 39,-0.020645958,-0.01840919,.02286
Period 40,-0.012210818,-0.010573418,.02276
Period 41,-0.02002797,-0.017620699,.022880001
Period 42,-0.020922324,-0.018634021,.022825001
Period 43,-0.017346731,-0.01545095,.02276
Period 44,-0.020922324,-0.018634021,.025520001
Period 45,-0.014931755,-0.013174127,.02978
